INSERT INTO 'recipe' (result, first_ingredient, second_ingredient) VALUES ('fire', 'fire', 'alcohol'),
 ('fire', 'fire', 'coal'),
 ('fence', 'wood', 'garden'),
 ('field', 'earth', 'farmer'),
 ('field', 'farmer', 'land'),
 ('field', 'earth', 'tool'),
 ('field', 'tool', 'land'),
 ('field', 'earth', 'plow'),
 ('field', 'land', 'plow'),
 ('field', 'farmer', 'soil'),
 ('field', 'tool', 'soil'),
 ('field', 'soil', 'plow'),
 ('fireplace', 'campfire', 'house'),
 ('fireplace', 'campfire', 'brick'),
 ('fireplace', 'campfire', 'wall'),
 ('fireplace', 'wood', 'container'),
 ('fireplace', 'campfire', 'container'),
 ('fireworks', 'sky', 'explosion'),
 ('fireworks', 'explosion', 'atmosphere'),
 ('fish', 'water', 'animal'),
 ('fish', 'animal', 'lake'),
 ('fish', 'sea', 'animal'),
 ('fish', 'ocean', 'animal'),
 ('fish', 'water', 'egg'),
 ('fish', 'egg', 'lake'),
 ('fish', 'sea', 'egg'),
 ('fish', 'ocean', 'egg'),
 ('fishing rod', 'tool', 'fish'),
 ('fishing rod', 'wood', 'fish'),
 ('fishing rod', 'tool', 'swordfish'),
 ('fishing rod', 'wood', 'swordfish'),
 ('fishing rod', 'tool', 'piranha'),
 ('fishing rod', 'wood', 'piranha'),
 ('fishing rod', 'fish', 'thread'),
 ('fishing rod', 'swordfish', 'thread'),
 ('fishing rod', 'piranha', 'thread'),
 ('flood', 'rain', 'rain'),
 ('flood', 'rain', 'river'),
 ('flood', 'rain', 'lake'),
 ('flood', 'rain', 'big'),
 ('flood', 'rain', 'time'),
 ('flood', 'house', 'river'),
 ('flood', 'river', 'city'),
 ('flood', 'tsunami', 'city'),
 ('flood', 'house', 'tsunami'),
 ('flour', 'wheat', 'wheat'),
 ('flour', 'stone', 'wheat'),
 ('flour', 'wheel', 'wheat'),
 ('flour', 'wheat', 'rock'),
 ('flower', 'plant', 'garden'),
 ('flower', 'grass', 'garden'),
 ('flower', 'grass', 'seed'),
 ('flower', 'garden', 'seed'),
 ('flower', 'plant', 'rainbow'),
 ('flower', 'plant', 'double rainbow!'),
 ('flower', 'grass', 'rainbow'),
 ('flower', 'grass', 'double rainbow!'),
 ('flute', 'wind', 'wood'),
 ('flute', 'air', 'wood'),
 ('flying fish', 'bird', 'fish'),
 ('flying fish', 'sky', 'fish'),
 ('flying fish', 'air', 'fish'),
 ('flying squirrel', 'bird', 'squirrel'),
 ('flying squirrel', 'squirrel', 'hummingbird'),
 ('flying squirrel', 'squirrel', 'pigeon'),
 ('flying squirrel', 'seagull', 'squirrel'),
 ('flying squirrel', 'air', 'squirrel'),
 ('fog', 'earth', 'cloud'),
 ('fog', 'cloud', 'hill'),
 ('fog', 'cloud', 'mountain'),
 ('fog', 'cloud', 'city'),
 ('fog', 'cloud', 'field'),
 ('fog', 'cloud', 'forest'),
 ('force knight', 'human', 'light sword'),
 ('force knight', 'warrior', 'light sword'),
 ('force knight', 'knight', 'light sword'),
 ('forest', 'tree', 'tree'),
 ('forest', 'plant', 'tree'),
 ('forest', 'tree', 'land'),
 ('forest', 'earth', 'tree'),
 ('forest', 'tree', 'container'),
 ('fortune cookie', 'paper', 'cookie'),
 ('fortune cookie', 'paper', 'cookie dough'),
 ('fossil', 'earth', 'dinosaur'),
 ('fossil', 'stone', 'dinosaur'),
 ('fossil', 'dinosaur', 'rock'),
 ('fossil', 'time', 'dinosaur'),
 ('fossil', 'time', 'bone'),
 ('fossil', 'earth', 'bone'),
 ('fossil', 'stone', 'bone'),
 ('fossil', 'stone', 'corpse'),
 ('fossil', 'time', 'grave'),
 ('fossil', 'bone', 'rock'),
 ('fossil', 'corpse', 'rock'),
 ('fossil', 'earth', 'skeleton'),
 ('fossil', 'stone', 'skeleton'),
 ('fossil', 'skeleton', 'rock'),
 ('fossil', 'time', 'skeleton'),
 ('fountain', 'water', 'statue'),
 ('fountain', 'statue', 'stream'),
 ('fox', 'chicken', 'animal'),
 ('fox', 'chicken', 'wolf'),
 ('fox', 'chicken', 'dog'),
 ('fox', 'wolf', 'chicken coop'),
 ('fox', 'animal', 'chicken coop'),
 ('fox', 'dog', 'chicken coop'),
 ('frankenstein’s monster', 'corpse', 'legend'),
 ('frankenstein’s monster', 'corpse', 'lightning'),
 ('frankenstein’s monster', 'corpse', 'story'),
 ('frankenstein’s monster', 'zombie', 'lightning'),
 ('frog', 'animal', 'pond'),
 ('frog', 'egg', 'pond'),
 ('frog', 'egg', 'puddle'),
 ('frog', 'animal', 'puddle'),
 ('fruit', 'time', 'flower'),
 ('fruit', 'water', 'flower'),
 ('fruit', 'rain', 'flower'),
 ('fruit', 'tree', 'flower'),
 ('fruit', 'tree', 'farmer'),
 ('fruit', 'farmer', 'orchard'),
 ('fruit tree', 'tree', 'fruit'),
 ('fruit tree', 'wood', 'fruit'),
 ('fruit tree', 'plant', 'fruit'),
 ('galaxy', 'solar system', 'solar system'),
 ('galaxy', 'star', 'star'),
 ('galaxy', 'star', 'solar system'),
 ('galaxy', 'space', 'space'),
 ('galaxy', 'space', 'solar system'),
 ('galaxy', 'star', 'space'),
 ('galaxy', 'solar system', 'container'),
 ('galaxy', 'supernova', 'container'),
 ('galaxy', 'star', 'container'),
 ('galaxy cluster', 'galaxy', 'galaxy'),
 ('galaxy cluster', 'galaxy', 'container'),
 ('garden', 'plant', 'grass'),
 ('garden', 'plant', 'house'),
 ('garden', 'flower', 'flower'),
 ('garden', 'grass', 'flower'),
 ('garden', 'plant', 'flower'),
 ('garden', 'house', 'flower'),
 ('garden', 'flower', 'lawn'),
 ('garden', 'plant', 'lawn'),
 ('garden', 'flower', 'container'),
 ('gardener', 'human', 'garden'),
 ('gardener', 'farmer', 'garden'),
 ('gas', 'air', 'idea'),
 ('gas', 'air', 'science'),
 ('gas', 'energy', 'liquid'),
 ('geyser', 'earth', 'steam'),
 ('geyser', 'steam', 'hill'),
 ('geyser', 'steam', 'mountain'),
 ('geyser', 'steam', 'pressure'),
 ('ghost', 'graveyard', 'night'),
 ('ghost', 'grave', 'night'),
 ('ghost', 'night', 'gravestone'),
 ('ghost', 'night', 'castle'),
 ('ghost', 'graveyard', 'story'),
 ('ghost', 'graveyard', 'legend'),
 ('ghost', 'grave', 'legend'),
 ('ghost', 'grave', 'story'),
 ('ghost', 'gravestone', 'legend'),
 ('ghost', 'gravestone', 'story'),
 ('ghost', 'night', 'story'),
 ('ghost', 'night', 'legend'),
 ('glacier', 'ice', 'mountain'),
 ('glacier', 'snow', 'mountain'),
 ('glacier', 'ice', 'mountain range'),
 ('glacier', 'snow', 'mountain range'),
 ('glacier', 'time', 'ice'),
 ('glass', 'fire', 'sand'),
 ('glass', 'sand', 'heat'),
 ('glass', 'sand', 'lightning'),
 ('glasses', 'glass', 'metal'),
 ('glasses', 'glass', 'steel'),
 ('glasses', 'glass', 'glass'),
 ('glasses', 'glass', 'human'),
 ('glasses', 'human', 'lens'),
 ('glasses', 'lens', 'lens'),
 ('gnome', 'garden', 'statue'),
 ('gnome', 'garden', 'story'),
 ('gnome', 'garden', 'fairy tale'),
 ('gnome', 'garden', 'legend'),
 ('goat', 'livestock', 'mountain'),
 ('goat', 'livestock', 'hill'),
 ('goat', 'livestock', 'mountain range'),
 ('goat', 'cow', 'mountain'),
 ('goat', 'cow', 'hill'),
 ('goat', 'cow', 'mountain range'),
 ('gold', 'metal', 'sun'),
 ('gold', 'steel', 'sun'),
 ('gold', 'metal', 'rainbow'),
 ('gold', 'steel', 'rainbow'),
 ('gold', 'metal', 'butter'),
 ('gold', 'steel', 'butter'),
 ('gold', 'sand', 'metal'),
 ('gold', 'sand', 'steel'),
 ('gold', 'metal', 'alchemist'),
 ('gold', 'steel', 'alchemist'),
 ('golem', 'clay', 'story'),
 ('golem', 'clay', 'legend'),
 ('golem', 'life', 'statue'),
 ('golem', 'story', 'statue'),
 ('golem', 'statue', 'legend'),
 ('granite', 'lava', 'pressure'),
 ('granite', 'pressure', 'stone'),
 ('granite', 'pressure', 'rock'),
 ('grass', 'earth', 'plant'),
 ('grass', 'plant', 'land'),
 ('grave', 'earth', 'coffin'),
 ('grave', 'field', 'coffin'),
 ('grave', 'earth', 'corpse'),
 ('grave', 'field', 'corpse'),
 ('grave', 'forest', 'corpse'),
 ('grave', 'forest', 'coffin'),
 ('grave', 'grave', 'gravestone'),
 ('grave', 'coffin', 'gravestone'),
 ('grave', 'coffin', 'container'),
 ('gravestone', 'stone', 'grave'),
 ('gravestone', 'grave', 'rock'),
 ('gravestone', 'stone', 'death'),
 ('gravestone', 'rock', 'death'),
 ('gravestone', 'stone', 'graveyard'),
 ('gravestone', 'graveyard', 'rock'),
 ('graveyard', 'grave', 'grave'),
 ('graveyard', 'field', 'grave'),
 ('graveyard', 'grave', 'land'),
 ('graveyard', 'gravestone', 'gravestone'),
 ('graveyard', 'field', 'gravestone'),
 ('graveyard', 'gravestone', 'land'),
 ('graveyard', 'gravestone', 'container'),
 ('greenhouse', 'plant', 'glass'),
 ('greenhouse', 'glass', 'grass'),
 ('greenhouse', 'glass', 'tree'),
 ('greenhouse', 'plant', 'aquarium'),
 ('greenhouse', 'aquarium', 'grass'),
 ('greenhouse', 'aquarium', 'tree'),
 ('greenhouse', 'plant', 'container'),
 ('greenhouse', 'glass', 'garden'),
 ('grim reaper', 'human', 'scythe'),
 ('grim reaper', 'corpse', 'scythe'),
 ('grim reaper', 'zombie', 'scythe'),
 ('grim reaper', 'scythe', 'death'),
 ('grim reaper', 'boat', 'scythe'),
 ('grim reaper', 'scythe', 'river'),
 ('gust', 'wind', 'small'),
 ('gust', 'air', 'small'),
 ('hail', 'cloud', 'ice'),
 ('hail', 'rain', 'ice'),
 ('hail', 'storm', 'ice'),
 ('hail', 'wind', 'ice'),
 ('hail', 'steam', 'ice'),
 ('hail', 'sky', 'ice'),
 ('ham', 'meat', 'smoke'),
 ('ham', 'smoke', 'pig'),
 ('hammer', 'metal', 'tool'),
 ('hammer', 'steel', 'tool'),
 ('hammer', 'stone', 'tool'),
 ('hammer', 'tool', 'rock'),
 ('hammer', 'tool', 'woodpecker'),
 ('hamster', 'wheel', 'mouse'),
 ('hamster', 'mouse', 'domestication'),
 ('hamster', 'rat', 'domestication'),
 ('hamster', 'wheel', 'rat'),
 ('harp', 'angel', 'music'),
 ('harp', 'angel', 'musician'),
 ('hay', 'grass', 'scythe'),
 ('hay', 'farmer', 'grass'),
 ('hay', 'grass', 'sun'),
 ('hay', 'grass', 'grass'),
 ('hay', 'grass', 'barn'),
 ('hay', 'grass', 'farm'),
 ('hay', 'grass', 'pitchfork'),
 ('hay', 'barn', 'pitchfork'),
 ('hay', 'pitchfork', 'farm'),
 ('hay', 'farmer', 'pitchfork'),
 ('hay bale', 'hay', 'hay'),
 ('hay bale', 'barn', 'hay'),
 ('heat', 'fire', 'idea'),
 ('heat', 'fire', 'science'),
 ('heat', 'lava', 'philosophy'),
 ('heat', 'air', 'energy'),
 ('hedge', 'plant', 'fence'),
 ('hedge', 'leaf', 'fence'),
 ('hedge', 'garden', 'fence'),
 ('hedge', 'plant', 'wall'),
 ('hedge', 'wall', 'leaf'),
 ('hedge', 'garden', 'wall'),
 ('hedgehog', 'animal', 'needle'),
 ('hedgehog', 'mouse', 'needle'),
 ('hedgehog', 'needle', 'rat'),
 ('hero', 'human', 'legend'),
 ('hero', 'dragon', 'knight'),
 ('hero', 'human', 'story'),
 ('hero', 'human', 'lightning'),
 ('hill', 'big', 'boulder'),
 ('hill', 'mountain', 'small'),
 ('hill', 'earth', 'boulder'),
 ('hill', 'stone', 'boulder'),
 ('hill', 'boulder', 'boulder'),
 ('hippo', 'horse', 'river'),
 ('hippo', 'water', 'horse'),
 ('hippo', 'cow', 'river'),
 ('hippo', 'water', 'cow'),
 ('honey', 'flower', 'bee'),
 ('honey', 'bee', 'beehive'),
 ('honey', 'time', 'bee'),
 ('honey', 'bee', 'bee'),
 ('horizon', 'earth', 'sky'),
 ('horizon', 'sky', 'continent'),
 ('horizon', 'sky', 'land'),
 ('horizon', 'ocean', 'sky'),
 ('horizon', 'sea', 'sky'),
 ('horizon', 'sky', 'lake'),
 ('horse', 'field', 'animal'),
 ('horse', 'livestock', 'hay'),
 ('horse', 'animal', 'land'),
 ('horse', 'livestock', 'barn'),
 ('horse', 'livestock', 'horseshoe'),
 ('horse', 'animal', 'horseshoe'),
 ('horse', 'animal', 'saddle'),
 ('horse', 'livestock', 'saddle'),
 ('horseshoe', 'metal', 'horse'),
 ('horseshoe', 'steel', 'horse'),
 ('hourglass', 'sand', 'glass'),
 ('hourglass', 'sand', 'time'),
 ('hourglass', 'glass', 'time'),
 ('hourglass', 'sand', 'container'),
 ('hourglass', 'time', 'container'),
 ('house', 'wall', 'wall'),
 ('house', 'human', 'wall'),
 ('house', 'tool', 'wall'),
 ('house', 'fireplace', 'container'),
 ('house', 'family', 'container'),
 ('human', 'time', 'animal'),
 ('human', 'life', 'clay'),
 ('human', 'time', 'monkey'),
 ('human', 'tool', 'animal'),
 ('human', 'tool', 'monkey'),
 ('hummingbird', 'bird', 'flower'),
 ('hummingbird', 'owl', 'flower'),
 ('hummingbird', 'pigeon', 'flower'),
 ('hummingbird', 'seagull', 'flower'),
 ('hummingbird', 'bird', 'garden'),
 ('hummingbird', 'owl', 'garden'),
 ('hummingbird', 'garden', 'pigeon'),
 ('hummingbird', 'garden', 'seagull'),
 ('hummingbird', 'bird', 'small'),
 ('hummingbird', 'bird', 'bee'),
 ('hummingbird', 'bird', 'butterfly'),
 ('hurricane', 'ocean', 'tornado'),
 ('hurricane', 'sea', 'tornado'),
 ('hurricane', 'ocean', 'storm'),
 ('hurricane', 'sea', 'storm'),
 ('husky', 'snow', 'dog'),
 ('husky', 'ice', 'dog'),
 ('husky', 'antarctica', 'dog'),
 ('husky', 'dog', 'arctic'),
 ('husky', 'blizzard', 'dog'),
 ('husky', 'dog', 'glacier'),
 ('ice', 'water', 'cold'),
 ('ice', 'water', 'solid'),
 ('ice', 'cold', 'puddle'),
 ('ice', 'puddle', 'solid'),
 ('ice sculpture', 'ice', 'statue'),
 ('iceberg', 'sea', 'ice'),
 ('iceberg', 'ocean', 'ice'),
 ('iceberg', 'sea', 'antarctica'),
 ('iceberg', 'ocean', 'antarctica'),
 ('iceberg', 'sea', 'arctic'),
 ('iceberg', 'ocean', 'arctic'),
 ('idea', 'science', 'science'),
 ('idea', 'farmer', 'farmer'),
 ('idea', 'warrior', 'warrior'),
 ('idea', 'baker', 'baker'),
 ('idea', 'sailor', 'sailor'),
 ('idea', 'swimmer', 'swimmer'),
 ('idea', 'knight', 'knight'),
 ('idea', 'monarch', 'monarch'),
 ('idea', 'gardener', 'gardener'),
 ('idea', 'philosophy', 'philosophy'),
 ('idea', 'science', 'philosophy'),
 ('idea', 'librarian', 'librarian'),
 ('idea', 'alchemist', 'alchemist'),
 ('igloo', 'house', 'ice'),
 ('igloo', 'house', 'snow'),
 ('igloo', 'house', 'cold'),
 ('igloo', 'house', 'snowman'),
 ('island', 'volcano', 'ocean'),
 ('island', 'volcano', 'sea'),
 ('ivy', 'plant', 'wall'),
 ('ivy', 'grass', 'wall'),
 ('jack-o-lantern', 'fire', 'pumpkin'),
 ('jack-o-lantern', 'pumpkin', 'candle'),
 ('jack-o-lantern', 'night', 'pumpkin'),
 ('jack-o-lantern', 'ghost', 'pumpkin'),
 ('jack-o-lantern', 'skeleton', 'pumpkin'),
 ('jack-o-lantern', 'skeleton', 'vegetable'),
 ('jack-o-lantern', 'ghost', 'vegetable'),
 ('jack-o-lantern', 'night', 'vegetable'),
 ('jam', 'juice', 'sugar'),
 ('jam', 'fruit', 'juice'),
 ('jam', 'fruit', 'heat'),
 ('jar', 'jam', 'container'),
 ('jar', 'jam', 'bottle'),
 ('jar', 'glass', 'jam'),
 ('jar', 'jam', 'bucket'),
 ('jerky', 'meat', 'sun'),
 ('jerky', 'sun', 'steak'),
 ('jerky', 'meat', 'heat'),
 ('jerky', 'steak', 'heat'),
 ('juice', 'pressure', 'fruit'),
 ('juice', 'earth', 'fruit'),
 ('juice', 'stone', 'fruit'),
 ('juice', 'fruit', 'rock'),
 ('juice', 'explosion', 'fruit'),
 ('juice', 'water', 'fruit'),
 ('juice', 'pressure', 'vegetable'),
 ('juice', 'stone', 'vegetable'),
 ('juice', 'vegetable', 'rock'),
 ('juice', 'explosion', 'vegetable'),
 ('juice', 'water', 'vegetable'),
 ('jupiter', 'cloud', 'planet'),
 ('jupiter', 'storm', 'planet'),
 ('jupiter', 'planet', 'big'),
 ('jupiter', 'planet', 'gas'),
 ('jupiter', 'big', 'saturn'),
 ('kaiju', 'dinosaur', 'city'),
 ('kaiju', 'dinosaur', 'legend'),
 ('kaiju', 'dinosaur', 'story'),
 ('katana', 'blade', 'heat'),
 ('katana', 'blade', 'shuriken'),
 ('katana', 'sword', 'shuriken'),
 ('katana', 'blade', 'ninja'),
 ('katana', 'sword', 'ninja'),
 ('knife', 'blade', 'cook'),
 ('knife', 'sword', 'cook'),
 ('knight', 'human', 'armor'),
 ('knight', 'warrior', 'armor'),
 ('knight', 'warrior', 'hero'),
 ('knight', 'warrior', 'horse'),
 ('lake', 'water', 'pond'),
 ('lake', 'pond', 'big'),
 ('lake', 'sea', 'small'),
 ('lake', 'pond', 'pond'),
 ('land', 'soil', 'soil'),
 ('land', 'big', 'soil'),
 ('land', 'earth', 'earth'),
 ('land', 'earth', 'stone'),
 ('land', 'small', 'continent'),
 ('lasso', 'cow', 'rope'),
 ('lasso', 'horse', 'rope'),
 ('lasso', 'pig', 'rope'),
 ('lasso', 'wild boar', 'rope'),
 ('lasso', 'sheep', 'rope'),
 ('lasso', 'goat', 'rope'),
 ('lava', 'fire', 'earth'),
 ('lava', 'earth', 'heat'),
 ('lava', 'earth', 'liquid'),
 ('lawn', 'grass', 'container'),
 ('lawn', 'house', 'grass'),
 ('leaf', 'wind', 'tree'),
 ('leaf', 'wind', 'flower'),
 ('leaf', 'wind', 'orchard'),
 ('leaf', 'wind', 'forest'),
 ('leather', 'blade', 'cow'),
 ('leather', 'blade', 'pig'),
 ('leather', 'blade', 'sheep'),
 ('leather', 'cow', 'sword'),
 ('leather', 'sword', 'pig'),
 ('leather', 'sword', 'sheep'),
 ('leather', 'tool', 'cow'),
 ('leather', 'tool', 'sheep'),
 ('leather', 'tool', 'pig'),
 ('legend', 'time', 'story'),
 ('legend', 'story', 'big'),
 ('legend', 'story', 'story'),
 ('legend', 'story', 'fairy tale'),
 ('legend', 'time', 'fairy tale'),
 ('lens', 'glass', 'tool'),
 ('letter', 'paper', 'pencil'),
 ('librarian', 'human', 'library'),
 ('librarian', 'human', 'book'),
 ('library', 'book', 'container'),
 ('library', 'house', 'book'),
 ('life', 'time', 'primordial soup'),
 ('life', 'storm', 'primordial soup'),
 ('life', 'volcano', 'primordial soup'),
 ('life', 'ocean', 'lightning'),
 ('life', 'sea', 'lightning'),
 ('life', 'lake', 'lightning'),
 ('life', 'primordial soup', 'lightning'),
 ('light sword', 'energy', 'sword'),
 ('light sword', 'sword', 'space'),
 ('light sword', 'sword', 'force knight'),
 ('lightning', 'energy', 'storm'),
 ('lightning', 'energy', 'cloud'),
 ('lightning', 'energy', 'rain'),
 ('lightning', 'storm', 'land'),
 ('lion', 'animal', 'cat'),
 ('lion', 'blood', 'cat'),
 ('lion', 'cat', 'big'),
 ('lion', 'cat', 'monarch'),
 ('liquid', 'water', 'idea'),
 ('liquid', 'water', 'science'),
 ('liquid', 'energy', 'solid'),
 ('livestock', 'field', 'animal'),
 ('livestock', 'farmer', 'animal'),
 ('livestock', 'animal', 'domestication'),
 ('livestock', 'animal', 'barn'),
 ('lizard', 'stone', 'animal'),
 ('lizard', 'animal', 'rock'),
 ('lizard', 'stone', 'egg'),
 ('lizard', 'egg', 'rock'),
 ('lizard', 'dinosaur', 'small'),
 ('lizard', 'swamp', 'animal'),
 ('lizard', 'swamp', 'egg'),
 ('lizard', 'blood', 'cold'),
 ('log cabin', 'wood', 'house'),
 ('love', 'human', 'human'),
 ('magic', 'life', 'rainbow'),
 ('magic', 'life', 'double rainbow!'),
 ('magic', 'energy', 'wizard'),
 ('magic', 'energy', 'witch'),
 ('magma', 'lava', 'science'),
 ('magma', 'volcano', 'science'),
 ('manatee', 'sea', 'cow'),
 ('manatee', 'ocean', 'cow'),
 ('manatee', 'fish', 'cow'),
 ('manatee', 'cow', 'lake'),
 ('manatee', 'cow', 'river'),
 ('map', 'paper', 'land'),
 ('map', 'paper', 'hill'),
 ('map', 'mountain', 'paper'),
 ('map', 'paper', 'mountain range'),
 ('map', 'paper', 'continent'),
 ('map', 'ocean', 'paper'),
 ('map', 'sea', 'paper'),
 ('map', 'paper', 'lake'),
 ('map', 'paper', 'river'),
 ('map', 'paper', 'city'),
 ('map', 'paper', 'village'),
 ('maple syrup', 'heat', 'sap'),
 ('maple syrup', 'sugar', 'sap'),
 ('mars', 'rust', 'planet'),
 ('mars', 'desert', 'planet'),
 ('meat', 'tool', 'livestock'),
 ('meat', 'tool', 'chicken'),
 ('meat', 'tool', 'pig'),
 ('meat', 'tool', 'cow'),
 ('meat', 'tool', 'animal'),
 ('meat', 'tool', 'fish'),
 ('meat', 'tool', 'swordfish'),
 ('meat', 'tool', 'flying fish'),
 ('meat', 'tool', 'shark'),
 ('meat', 'tool', 'frog'),
 ('meat', 'axe', 'livestock'),
 ('meat', 'axe', 'chicken'),
 ('meat', 'axe', 'pig'),
 ('meat', 'axe', 'cow'),
 ('meat', 'axe', 'animal'),
 ('meat', 'axe', 'fish'),
 ('meat', 'axe', 'swordfish'),
 ('meat', 'axe', 'flying fish'),
 ('meat', 'axe', 'shark'),
 ('meat', 'axe', 'frog'),
 ('meat', 'livestock', 'sword'),
 ('meat', 'chicken', 'sword'),
 ('meat', 'sword', 'pig'),
 ('meat', 'cow', 'sword'),
 ('meat', 'animal', 'sword'),
 ('meat', 'sword', 'shark'),
 ('meat', 'fish', 'net'),
 ('meat', 'swordfish', 'net'),
 ('meat', 'shark', 'net'),
 ('meat', 'piranha', 'net'),
 ('meat', 'flying fish', 'net'),
 ('medusa', 'human', 'snake'),
 ('medusa', 'snake', 'legend'),
 ('medusa', 'snake', 'story'),
 ('medusa', 'snake', 'hero'),
 ('mercury', 'planet', 'small'),
 ('mercury', 'planet', 'heat'),
 ('mermaid', 'human', 'fish'),
 ('mermaid', 'fish', 'legend'),
 ('mermaid', 'fish', 'magic'),
 ('mermaid', 'swimmer', 'magic'),
 ('mermaid', 'fish', 'swimmer'),
 ('metal', 'fire', 'ore'),
 ('metal', 'heat', 'ore'),
 ('metal', 'tool', 'ore'),
 ('meteor', 'atmosphere', 'meteoroid'),
 ('meteor', 'sky', 'meteoroid'),
 ('meteor', 'air', 'meteoroid'),
 ('meteor', 'night', 'meteoroid'),
 ('meteor', 'day', 'meteoroid'),
 ('meteoroid', 'stone', 'space'),
 ('meteoroid', 'space', 'rock'),
 ('meteoroid', 'space', 'boulder'),
 ('meteoroid', 'stone', 'solar system'),
 ('meteoroid', 'solar system', 'rock'),
 ('meteoroid', 'solar system', 'boulder'),
 ('meteoroid', 'sun', 'rock'),
 ('meteoroid', 'stone', 'sun'),
 ('meteoroid', 'sun', 'boulder'),
 ('milk', 'farmer', 'cow'),
 ('milk', 'tool', 'cow'),
 ('milk', 'water', 'cow'),
 ('milk', 'farmer', 'goat'),
 ('milk', 'tool', 'goat'),
 ('milk', 'water', 'goat'),
 ('milk', 'cow', 'liquid'),
 ('milk', 'goat', 'liquid'),
 ('mineral', 'stone', 'organic matter'),
 ('mineral', 'rock', 'organic matter'),
 ('mineral', 'earth', 'organic matter'),
 ('mineral', 'boulder', 'organic matter'),
 ('mineral', 'hill', 'organic matter'),
 ('mineral', 'mountain', 'organic matter'),
 ('minotaur', 'human', 'cow'),
 ('minotaur', 'cow', 'werewolf'),
 ('minotaur', 'cow', 'story'),
 ('minotaur', 'cow', 'legend'),
 ('mirror', 'glass', 'metal'),
 ('mirror', 'glass', 'steel'),
 ('mirror', 'glass', 'wood'),
 ('mist', 'water', 'air'),
 ('mist', 'air', 'steam'),
 ('mist', 'air', 'rain'),
 ('mold', 'time', 'bread'),
 ('mold', 'bread', 'bacteria'),
 ('mold', 'bacteria', 'vegetable'),
 ('mold', 'fruit', 'bacteria'),
 ('mold', 'time', 'vegetable'),
 ('mold', 'time', 'fruit'),
 ('monarch', 'human', 'castle'),
 ('monarch', 'human', 'excalibur'),
 ('money', 'paper', 'gold'),
 ('money', 'diamond', 'paper'),
 ('monkey', 'tree', 'animal'),
 ('moon', 'sky', 'cheese'),
 ('moon', 'sky', 'planet'),
 ('moon', 'sky', 'stone'),
 ('moon', 'night', 'planet'),
 ('moon', 'stone', 'night'),
 ('moon', 'earth', 'night'),
 ('moon', 'cheese', 'night'),
 ('moon', 'sky', 'time'),
 ('moss', 'plant', 'stone'),
 ('moss', 'stone', 'grass'),
 ('moss', 'stone', 'algae'),
 ('moss', 'plant', 'rock'),
 ('moss', 'grass', 'rock'),
 ('moss', 'algae', 'rock'),
 ('moss', 'plant', 'boulder'),
 ('moss', 'grass', 'boulder'),
 ('moss', 'algae', 'boulder'),
 ('moth', 'moon', 'butterfly'),
 ('moth', 'night', 'butterfly'),
 ('moth', 'butterfly', 'candle'),
 ('motion', 'wind', 'science'),
 ('motion', 'wind', 'idea'),
 ('motion', 'wind', 'philosophy'),
 ('motion', 'tornado', 'science'),
 ('motion', 'tornado', 'philosophy'),
 ('motion', 'stream', 'science'),
 ('motion', 'stream', 'philosophy'),
 ('motion', 'river', 'philosophy'),
 ('motion', 'river', 'science'),
 ('mountain', 'big', 'hill'),
 ('mountain', 'earth', 'earthquake'),
 ('mountain', 'earth', 'hill'),
 ('mountain', 'hill', 'hill'),
 ('mountain', 'earthquake', 'hill'),
 ('mountain', 'earth', 'big'),
 ('mountain goat', 'mountain', 'goat'),
 ('mountain goat', 'goat', 'mountain range'),
 ('mountain range', 'mountain', 'mountain'),
 ('mountain range', 'mountain', 'continent'),
 ('mouse', 'cheese', 'animal'),
 ('mouse', 'cheese', 'barn'),
 ('mouse', 'house', 'cheese'),
 ('mouse', 'cheese', 'farm'),
 ('mouse', 'cheese', 'wall'),
 ('mousetrap', 'wood', 'cheese'),
 ('mousetrap', 'metal', 'cheese'),
 ('mousetrap', 'steel', 'cheese'),
 ('mousetrap', 'blade', 'mouse'),
 ('mud', 'water', 'earth'),
 ('mud', 'water', 'soil'),
 ('mummy', 'corpse', 'pyramid'),
 ('mummy', 'pyramid', 'fabric'),
 ('mummy', 'corpse', 'fabric'),
 ('mummy', 'human', 'pyramid'),
 ('music', 'flute', 'musician'),
 ('music', 'sheet music', 'musician'),
 ('music', 'drum', 'musician'),
 ('music', 'musician', 'pan flute'),
 ('musician', 'human', 'flute'),
 ('musician', 'human', 'music'),
 ('musician', 'human', 'sheet music'),
 ('musician', 'human', 'drum'),
 ('musician', 'human', 'pan flute'),
 ('narwhal', 'fish', 'unicorn'),
 ('narwhal', 'ocean', 'unicorn'),
 ('narwhal', 'sea', 'unicorn'),
 ('narwhal', 'water', 'unicorn'),
 ('narwhal', 'unicorn', 'shark'),
 ('narwhal', 'unicorn', 'swordfish'),
 ('narwhal', 'unicorn', 'flying fish'),
 ('needle', 'metal', 'thread'),
 ('needle', 'steel', 'thread'),
 ('needle', 'tool', 'thread'),
 ('nessie', 'lake', 'legend'),
 ('nessie', 'story', 'lake'),
 ('nessie', 'dinosaur', 'legend'),
 ('nessie', 'dinosaur', 'story'),
 ('nest', 'tree', 'bird'),
 ('nest', 'bird', 'hay'),
 ('nest', 'egg', 'hay'),
 ('nest', 'tree', 'egg'),
 ('nest', 'bird', 'grass'),
